patient,P29466_N,P29466_C,P29466.4_N,P29466.4_C
1,0.450778784485391,0.742946303416628,0,0
2,0.966902638235225,0.488087873306238,0,0
3,0.627645217790795,0.474762266475592,0,0
4,0.863206968470126,0.957134877067688,0,0
9,0.924018383341961,1.65612389992698,0,0
10,0.67733753506783,0.71563465707562,0,0
11,1.09585696620603,1.24256652432311,0,0
12,1.13742294119908,1.22612279222438,0,0
17,2.09405084697724,0.996117036855083,0,0
18,0.818405812162839,1.31434995795818,0,0
19,1.11546855366709,1.31383978761798,0,0
20,1.37226373917069,0.926626167959413,0,0
37,1.78973257230004,1.36337583731847,0,0
38,1.56676537022614,1.32312936688,0,0
39,1.49052408203808,0.544441058172391,0,0
40,0.665185486187146,1.25986878822882,0,0
57,1.16872729932547,0.927661850523558,0,0
58,1.30391988790524,0.671905679483048,0,0
59,0.781481506879062,0.523800707221015,0,0
60,1.08356134010839,0.591094135368594,0,0
69,4.35039295868939,2.69920521555629,0,0
70,4.74055419186019,3.00051754145212,0,0
71,2.98217621797625,2.46154378036658,0,0
72,1.64634523089399,2.91256849181733,0,0
77,2.54510711410829,1.11038586577048,0,0
78,1.40582690075471,1.03565874694801,0,0
79,0.88920942657521,0.800224145777772,0,0
80,0.779871649858204,0.675378505427975,0,0
93,0,0,1.00361784314066,0.792558351220058
94,0,0,10.833608142847,7.3952493631169
95,0,0,1.58545804478334,1.2349939541907
96,0,0,1.01026534063845,1.12509329059804
97,1.33276339823156,0.805995475113122,0,0
98,1.03698264768151,1.38693490804932,0,0
99,1.45578376022251,3.69663020465773,0,0
100,1.1944404084852,0.787260264020922,0,0
