patient,P13646_N,P13646_C,P13646.3_N,P13646.3_C
1,0,0,0.913503982001585,1.14200660800157
2,0,0,1.18151532387333,1.21850198229495
3,0,0,1.3370175773686,1.14069809283915
4,0,0,0.977299372440349,0.914144521278673
33,0.670730239351747,0.71589219262641,0,0
34,0.863060854502617,0.99545664731399,0,0
35,0.785398148895723,0.981958706135361,0,0
36,0.963748596258156,0.916061742621639,0,0
85,0,0,0.927366387636832,1.11837089504185
86,0,0,0.980405666452028,1.33656364026615
87,0,0,0.7359132861129,1.37008156256707
88,0,0,0.999341060313372,1.36501180510839
93,0.923086052451994,0.955554986122312,0,0
94,0.893109438176183,1.42443875610605,0,0
95,0.586160344609011,1.2874879632302,0,0
96,0.911099182983177,10.5390045287925,0,0
